INPUT:input	OUTPUT:answer	OUTPUT:Jan_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_Angry	OUTPUT:kendall_feel	OUTPUT:answer_in_love	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	GOLDEN:answer	GOLDEN:Jan_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_Angry	GOLDEN:kendall_feel	GOLDEN:answer_in_love	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	in_love	Being loved	Because they shareda mutual bond with each other as can be seen.		It's true that his mindset wouldn't make him go back to cleaning.	Option A makes no sense as someone wouldn't wake up after being covered to feel bothered.				talk_to_Jan	Yes		Yes	no		eu.dc38fbba-06de-4ea1-806d-f4eda65e8293	Because they both have mutual love and affection for each other.		Because he was curious if she had a date for the dance and he seems interested in her.	It was an affectionate act.																								https://platform.toloka.ai/task/39724456/00025e25a8--648f077e4616cb749c924612	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f077e4616cb749c924612	f44ca4f558f53047045d38a0596702c0	APPROVED	2023-06-18T13:32:46.903	+	
test	in_love	Being loved	Feeling in love is a great feeling that comes with growth and deepest connections. 		Kendall was skeptical about asking Jan but she ended up talking to him.	Kendall cares alot about Jan's wellbeing. 				talk_to_Jan	Yes		Yes	Yes		eu.6cb0648f-fba5-4f76-90d7-36e7a1756d16	Because it has been long without seeing Jan.		Because she is also interested in going to the dance with him.	Because Jan also loves Kendall so he would feel loved if Kendall asked him for a dance date.																								https://platform.toloka.ai/task/39724456/00025e25a8--648f077ed7c375249d2d25a8	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f077ed7c375249d2d25a8	64448b846b32fbef3265f1deb256cbdd	APPROVED	2023-06-18T13:32:46.801	+	
test	in_love	Being loved	I think that it is very close to the reality of things		it reads very natural, and it fits more into the story	this seems good to me, since the story is more attractive				talk_to_Jan	Yes		Yes	Yes		eu.414686b5-897a-4465-b309-5a15da089cde	is the first opcion of the game		seems the most appropriate	I think it is the best option. love stories are always more interesting																								https://platform.toloka.ai/task/39724456/00025e25a8--648f078a80636234aaaf695e	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f078a80636234aaaf695e	ae7b4d4dc635635b54b7bb401e643e92	APPROVED	2023-06-18T13:32:58.886	+	
test	in_love	Being loved	they didn't argue, that is why		she doesn't want to clean	they get along really well				talk_to_Jan	Yes		Yes	Yes		eu.9d807ba6-c824-48a6-852d-5eb254702300	this seems more suitable for the plot		because she seemingly wants to say something	because they had a nice conversation																								https://platform.toloka.ai/task/39724456/00025e25a8--648f078e8fc91602f7888ec5	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f078e8fc91602f7888ec5	f466e9cf524033b905c842eccc3019cf	APPROVED	2023-06-18T13:33:02.673	+	
test	in_love	Being loved	She shows love towards other characters in the game.		She thinks Jan has found a date and asks him.	She is loving towards jan.				talk_to_Jan	Yes		Yes	Yes		eu.72be6cd0-d78b-4157-bb96-52f31d927d26	This is because sge shows her softer part.		She wants to talk to jan about the dance	She shows interest by trying to cover Jan.																								https://platform.toloka.ai/task/39724456/00025e25a8--648f0791245d52430e63105a	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f0791245d52430e63105a	f66fab3f4844460495ad2fc206363540	APPROVED	2023-06-18T13:33:05.121	+	
test	in_love	Being loved	I wanted they have a healthy relationship.		This move of Kendall's is quite impressive.	Kendall is so in love with him.				talk_to_Jan	Yes		Yes	Yes		eu.17bf87c3-88ab-49a2-a743-099bbac019a9	Because they are in love and have very good relationship.		Because he loves him and he is the one who she wants to talk.	Because he was covered by a blanket by her and this was a very lovely move.																								https://platform.toloka.ai/task/39724456/00025e25a8--648f07db58db6d22ce898f0b	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f07db58db6d22ce898f0b	7684b07bd79b7e7262d637816398b5b8	APPROVED	2023-06-18T13:34:19.582	+	
test	in_love	Being loved	I agree with the ai's rationale here kendalle felt loved with Jan because of the good time they spent together in the cozy caffe and her emotions for him and that he tells like the luckiest guy in the world being with her and of course he can feel angry about that		I agree with the ai because of course kendalle would like to talk to Jan about the upcoming dance and if she has a date	because she would feel ignored if he tried to cover her because the act of him doing so means that he cares about her and her well-being				talk_to_Jan	Yes		Yes	no		eu.75fdf8f7-fb37-4a55-a5f1-2f8497360c71	because she enjoyed her company and the time he spends with her		because kendalle wanted to know if Jan had a date to the dance	because kendalle covered her from the cold which mean he cares about her																								https://platform.toloka.ai/task/39724456/00025e25a8--648f08a56363e5730cbcd89a	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f08a56363e5730cbcd89a	71385a5299caeaca086776066a3f1b3f	APPROVED	2023-06-18T13:37:41.129	+	
test	in_love	Being loved	Yes AI is correct being loved from someone is ver good feeling 		I think story conveyed like it	The game was good I really enjoyed the script and the story				talk_to_Jan	Yes		Yes	Yes		eu.1a55ca58-1537-46ff-ab2b-a98c07a62c20	The story was all about boy and girl coming in a relationship so I chose the option feeling in love		Because jan wants to talk to kendall	Being love is a good feeling 																								https://platform.toloka.ai/task/39724456/00025e25a8--648f0b47eab89e4159b16313	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f0b47eab89e4159b16313	af77ee30f7109185711c1981c8d8467d	APPROVED	2023-06-18T13:48:55.246	+	
test	in_love	Being loved	Feeling in love is a great feeling that has its own deep connection. 		Kendall clearly wanted to talk to Jan instead of ignoring him, they even moved to the living room. 	Ignorance makes a person feel neglected but being loved makes one feel wanted and appreciated. 				talk_to_Jan	Yes		Yes	Yes		eu.b2eff4ff-ce2a-466c-8e4f-38a361465a14	Because it's been long since Kendall saw Jan.		Kendall wanted to know if Jan has any interest in going to the dance with her.	Because this proved that Kendall cares and loves him so it made him feel loved.																								https://platform.toloka.ai/task/39724456/00025e25a8--648f0b4830a157283b8544d0	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f0b4830a157283b8544d0	f51fcd90e81483d53d819a2b76301732	APPROVED	2023-06-18T13:48:56.402	+	
test	in_love	Being loved	They live together and enjoy their relationship 		Jan engaged with her and want to be happy 	They should love each other 				talk_to_Jan	Yes		Yes	Yes		eu.bee2943e-c420-46b5-b17b-35d5f61b68b7	Because they have deep connection and a romantic bond		Jan has found a date and want to have good time	Because they suggested love and concern 																								https://platform.toloka.ai/task/39724456/00025e25a8--648f0b5a98d4fb06018f31cc	d7b3d18a-1b6e-476d-9ceb-1750649ad4d7	00025e25a8--648f0b5a98d4fb06018f31cc	ce64af8839f86f2f430847c208fffa80	APPROVED	2023-06-18T13:49:14.343	+	
