INPUT:input	OUTPUT:answer	OUTPUT:rating	OUTPUT:feedback	OUTPUT:Skylar_do	OUTPUT:Skylar_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_show_up	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	OUTPUT:answer_Connect with the local team leader	GOLDEN:answer	GOLDEN:rating	GOLDEN:feedback	GOLDEN:Skylar_do	GOLDEN:Skylar_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_show_up	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	GOLDEN:answer_Connect with the local team leader	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	Connect with the local team leader	6.0	This is all just a demo version and a lot of things are unclear, but the idea is interesting, it seems to me. In any kinetic novels, the most interesting thing is the choice that affects the further development of the plot, and if there is such a choice, then the game will be wonderful!			I was thinking in the same direction as AI . Before playing for the team , if I were Skylar , I would like to meet with the leader and find out all the details , get to know each other better	In some ways I agree with AI , especially in option B , but as for option A , there can be a lot of views on this situation					Yes	Yes				eu.199a72c0-b195-4848-bb1b-a2019c9d8d92	if I were Skylar , I would like to meet with the leader and find out all the details , get to know each other better	Skyler may be surprised by this offer , but her desire to develop and play for the team should not stop with money , even if it is a fraud				surprised																									https://platform.toloka.ai/task/39729433/00025e3919--649029b821daf17a156f774a	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029b821daf17a156f774a	32d7a15412ce1ba4ffc975753b9ea093	APPROVED	2023-06-19T10:11:04.205	+	
																																																							
test	Connect with the local team leader	8.0	I think its good keep it up			Because reaching out to the assigned leader can help get more information beforehand 	"Because it was unethical and inappropriate of leader to demand money before skylar even joined the team that seems like he will keep doing that
"					Yes	Yes				eu.9b565d8e-6667-40dc-a571-5b54435d7471	It felt right to first approach the team leader before just directly showing up in practice without anyone knowing. 	Bribery is a sin should not be tolerated in any way				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--649029c5645f70543babd31d	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029c5645f70543babd31d	887aed643646dfb3c599924f3d50e21b	APPROVED	2023-06-19T10:11:17.616	+	
																																																							
test	show_up	9.0	It was nice engaging in such a nice game, I'm looking forward to more.	elated		Showing up personally shows his focus and determination. 		Because feeling confident makes a person feel good about themselves. 		Because his dream is definitely coming to live, he is living his dream.	confident	Yes		Yes		Yes	eu.0fc2c2d0-cc57-465a-9917-395c18525624	Because if he doesn't show up to practice directly that means he won't get accepted into any team.		Because he will be able to showcase his skills to the team.		Because he has always wanted to be accepted into a team.																										https://platform.toloka.ai/task/39729433/00025e3919--649029cea5f63b7de457ff07	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029cea5f63b7de457ff07	64448b846b32fbef3265f1deb256cbdd	APPROVED	2023-06-19T10:11:26.969	+	
																																																							
test	Connect with the local team leader	10.0	Too little time for answer			"Showing up in practice will really show confidence, but if you don't know how good you are physically, it can only be a disadvantage for you. But generally true.

Yes, it's better to find out more details when you meet the leader in person than to bother him at the practice site when he's busy."	Yes. It`s not good taking money					Yes	Yes				eu.9faf9ae3-7043-4866-8fb5-443ded940d60	Because the person who is the leader of the team and plays soccer knows all this from the inside and can explain in a private meeting better and more than if you bother him at the place of team practice	Demanding money from a rookie who just wants to make the team and who may not yet have the physical data to do so/skill or will quickly quit training is extortion.				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--649029ff41bb284d150d70d1	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029ff41bb284d150d70d1	f24e98a9a2ddbcff5ee9230276553194	APPROVED	2023-06-19T10:12:15.129	+	
																																																							
test	show_up	8.0	This task is good for me, and game is not bad but very short		Furious	To do something well, it takes practice first.		People can feel embarrassed when they don't care about someone else	It's normal for them to feel bad about making fun of them.		embarrassed	Yes		Yes	Yes		eu.5147bc33-37c8-492e-8113-69d1d1d004d1	She can't be ready without practice		Because other guys didn't care her	She got angry because they teased her																											https://platform.toloka.ai/task/39729433/00025e3919--64902a1a38c9c356156b6574	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a1a38c9c356156b6574	8823741842cdfd7822074dd34993052e	APPROVED	2023-06-19T10:12:42.898	+	
																																																							
